Ano do Evento;Nome do Evento;Evento Gratuito;Qtd Total de Inscritos;Qtd Concluintes;Valor Recebido;% de Ocupação
2018;APRESENTAÇÃO DO PROGRAMA DE DIGITALIZAÇÃO DA COSTA DO CONDE;Sim;15;14;0;0.5
2018;APRESENTAÇÃO DO PROJETO DA FEIRA - PET WEEKEND;Sim;12;12;0;0.6
2018;Apresentação e aplicação do software de gestão na piscicultura;Sim;7;7;0;0.35
2018;Apresentação Programa Sebrae;Sim;11;11;0;0.055
2018;Área de Recursos Humanos e Empreendedorismo;Sim;52;52;0;0.26
2018;Arquiteto Empreendedor;Sim;207;206;0;1
2018;ARTE E DESIGN URBANO E CARTOGRAFIA DAS SINGULARIDADES CULTURAIS - FEIRA INTERNACIONAL DE ECONOMIA CRIATIVA;Sim;13;13;0;0.52
2018;As 5 competências para construir carreiras e negócios inabaláveis nos dias de hoje;Não;235;235;16450;0.5875
2018;ASPECTOS TRABALHISTAS NO E-SOCIAL #EXPONEGOCIO;Sim;18;16;0;0.457142857
2018;Atender Bem Gera Mais Vendas;Não;76;76;2280;0.38
2018;Atendimento;Não;16;16;800;0.8
2018;ATENDIMENTO AO CLIENTE;Sim;30;30;0;0.75
2018;Atendimento ao Cliente;Não;67;53;2780;0.883333333
2018;Atendimento ao Cliente;Sim;24;24;0;0.8
2018;ATENDIMENTO AO CLIENTE 12hs;Sim;20;20;0;0.8
2018;Atendimento ao Cliente com foco nas vendas adicionais;Sim;4;4;0;0.210526316
2018;ATENDIMENTO E VENDAS DE ALTA PERFORMANCE;Não;19;19;855;0.76
2018;Atendimento e vendas de alta performançe #SEMANADOMEI;Sim;23;12;0;0.4
2018;Atendimento e vendas de alta performançe. #SEMANADOMEI;Sim;70;33;0;0.55
2018;Atitudes Vencedor #SEMANADOMEI;Sim;103;102;0;0.927272727
2018;"AULA-SHOW ""MARKETING DIGITAL: APLICAÇÕES E TENDÊNCIAS NOS PEQUENOS NEGÓCIOS""";Sim;53;29;0;0.265
2018;Aumentando suas Vendas com Criatividade Através do Atendimento #SEMANADOMEI;Sim;15;15;0;0.5
2018;AVALIAÇÃO DE PRODUÇÃO DE FORRAGEIRA;Sim;7;7;0;0.7
2018;AVICULTURA ALTERNATIVA;Sim;10;5;0;0.5
2018;AVICULTURA ALTERNATIVA COMO FONTE DE RENDA;Sim;5;5;0;0.25
2018;Avicultura Alternativa: Novas perspectivas para a avicultura paraibana;Sim;5;5;0;0.5
2018;AVICULTURA ALTERNATIVA: PLANEJAMENTO E MONTAGEM DE AVIÁRIO;Sim;5;5;0;0.5
2018;Avicultura Caipira;Sim;8;7;0;0.7
2018;BANCO DO BRASIL - BB;Sim;2;2;0;0.04
2018;Banco do Brasil - BB;Sim;2;2;0;0.04
2018;BANCO DO NORDESTE - BNB;Sim;3;3;0;0.06
2018;Banco do Nordeste - BNB;Sim;5;5;0;0.1
2018;Barão de Três;Sim;10;10;0;0.181818182
2018;BELEZA LOW SUGAR! A REVERSÃO DA GLICAÇÃO AVANÇADA EM 20 ANOS - MEZZO;Sim;49;49;0;0.98
2018;BLOND COLLECTION - DELUX PROFISSIONAL;Sim;43;32;0;0.64
2018;Boas Práticas de Fabricação de Alimentos;Não;16;16;1280;0.08
2018;Boas Praticas de Manipulação de Alimentos;Sim;15;15;0;0.3
2018;BOAS PRÁTICAS E DEFEITOS DE QUEIJOS ARTESANAIS;Sim;11;10;0;1
2018;BOAS PRÁTICAS NA MANIPULAÇÃO DE ALIMENTOS;Não;28;28;2520;1
2018;Boas Práticas no Serviço de Alimentação;Sim;29;29;0;0.725
2018;Boas práticas no serviço de alimentação;Sim;10;10;0;1
2018;BOAS PRÁTICAS NOS SERVIÇOS DE ALIMENTAÇÃO;Não;32;24;2160;0.8
2018;BOAS VENDAS: COMO VENDER MAIS E MELHOR NO VAREJO;Não;29;20;900;0.666666667
2018;BOOTCAMP;Não;11;11;1760;0.366666667
2018;BOOTCAMP - EMPREENDEDORISMO EM AÇÃO;Não;28;25;2880;0.9
2018;Bootcamp - Empreendedorismo em Ação;Não;29;29;3680;0.966666667
2018;Bradesco;Sim;9;9;0;0.18
2018;Bradesco - Crédito Sustentável;Sim;2;2;0;0.02
2018;BRASIL MAIS SIMPLES PARAÍBA;Sim;277;277;0;0.923333333
2018;CAFÉ COM EMPREENDEDORAS;Sim;182;182;0;0.791304348
2018;CAIXA;Sim;11;11;0;0.22
2018;Caixa;Sim;7;7;0;0.14
2018;CAMPANHA PROMOCIONAL LIQUIDA CAMPINA;Sim;239;239;0;0.956
2018;Campanhas Motivacionais - Vendas - Inova Monteiro Trend;Sim;25;25;0;1
2018;Capacitação de Professores JEPP - Jovens Empreendedores Primeiros Passos - 1º ao 5º ano;Sim;27;27;0;0.771428571
2018;Capacitação de Professores JEPP - Jovens Empreendedores Primeiros Passos - 6º ao 9º ano;Sim;40;35;0;0.875
2018;Capacitação em Negócios de Confeitaria Artística;Não;9;9;2250;0.9
2018;Capacitação Mídias Digitais: Venda muito mais utilizando ferramentas digitais;Sim;136;136;0;1
2018;CAPELETTI SERTANEJO;Sim;28;28;0;0.56
2018;CARAVANA DA BELEZA DO CURIMATAÚ PARA PARTICIPAÇÃO NO 28º ENCONTRO REGIONAL DA BELEZA - FORTALEZA - CE;Não;14;0;0;-
2018;CARCINICULTURA BRASILEIRA: PERSPECTIVAS E DESAFIOS;Sim;71;71;0;0.788888889
2018;CARCINICULTURA COMO OPORTUNIDADE DE NEGÓCIOS - 3ª FENEVALE;Sim;70;70;0;0.777777778
2018;Caruru da Dadá;Sim;40;40;0;0.666666667
2018;Case Piipee – Desafios de empreender.;Não;221;221;5525;0.884
2018;Caso prático do uso do software para piscicultura;Sim;7;7;0;0.35
2018;CDM - PRÁTICAS COMERCIAIS;Sim;33;33;0;0.165
2018;CENÁRIO DA AVICULTURA ALTERNATIVA NA PARAÍBA;Sim;5;5;0;0.5
2018;Charcutaria Artesanal a Base de Carne de Cordeiro e de Suíno;Sim;20;20;0;1
2018;CHEF BETO URTIGA;Sim;31;31;0;0.516666667
2018;CÍLIO FIO A FIO O DETALHE QUE FAZ TODA A DIFERENÇA;Sim;22;16;0;0.32
2018;CIOBA NA MANTEIGA. RATATOUILLE NORDESTINO E BÉARNAISE DE CAJU;Sim;34;34;0;0.566666667
2018;Circuito de Oficinas Economia Criativa - Festival de Cultura Popular Zabé da Loca;Sim;10;10;0;0.666666667
2018;CLIENTE 4.0 - REVOLUCIONE SEU ATENDIMENTO;Não;25;25;2040;0.833333333
2018;COMEÇAR BEM - MEI;Sim;16;16;0;1
2018;COMERCIALIZAÇÃO NA AGRICULTURA FAMILIAR;Sim;14;14;0;0.466666667
2018;COMO A INOVAÇÃO E A TECNOLOGIA EM DISPOSITIVOS MÓVEIS PODEM MELHORAR A EXPERIÊNCIA DO CONSUMIDOR;Sim;27;24;0;0.2
2018;COMO ANALISAR O MERCADO;Não;13;13;240;0.433333333
2018;COMO ANALISAR OPORTUNIDADES DE FRANQUIAS;Não;1;0;0;-
2018;COMO ATENDER MELHOR O SEU CLIENTE;Não;28;28;1799.84;0.933333333
2018;COMO ATENDER MELHOR SEU CLIENTE;Não;70;52;6300;0.777777778
2018;Como Atender Melhor Seu Cliente;Não;44;44;1232;0.88
2018;Como Atender Melhor seu Cliente;Não;23;23;2070;1
2018;COMO ATENDER MELHOR SEU CLIENTE - (FECHADO) ALI;Não;16;14;1440;0.533333333
2018;COMO ATRAIR. CONQUISTAR E MANTER CLIENTES;Sim;86;32;0;1
2018;Como aumentar o faturamento da sua oficina;Sim;52;52;0;0.866666667
2018;COMO AUMENTAR SUAS VENDAS;Não;20;19;400;0.666666667
2018;Como Aumentar suas Vendas com Criatividade Através do Atendimento;Sim;34;33;0;0.66
2018;COMO CONDUZIR NEGOCIAÇÕES EFICAZES;Não;25;22;1980;0.733333333
2018;COMO CONQUISTAR O CONSUMIDOR EM TEMPOS DE ALTA CONCORRÊNCIA #EXPONEGOCIO;Sim;42;42;0;0.933333333
2018;COMO CRIAR UMA EQUIPE DE ALTA PERFORMANCE #EXPONEGOCIO;Sim;38;37;0;0.822222222
2018;Como Criar uma Página Empresarial no Facebook  #SEMANADOMEI;Sim;20;20;0;0.666666667
2018;COMO DEFINIR SEU PREÇO DE VENDA;Não;19;11;360;0.6
2018;COMO DEFINIR SEU PREÇO DE VENDA #EXPONEGOCIO;Sim;29;22;0;0.44
2018;COMO DESENVOLVER A REGIÃO ATRAVÉS DO TES;Sim;32;32;0;0.941176471
2018;COMO ESCOLHER O MELHOR MODELO DE FRANQUIA;Não;9;4;180;0.3
2018;COMO FORMALIZAR SEU NEGÓCIO;Não;7;5;140;0.233333333
2018;Como Formar Preço;Sim;1;1;0;0.02
2018;Como Funciona Uma Franquia;Sim;28;28;0;0.466666667
2018;COMO INICIAR UM PEQUENO NEGÓCIO;Não;1;0;0;-
2018;Como manter os clientes fiéis a sua empresa.;Não;26;26;625;1
2018;Como Manter seus Clientes Fiéis a Sua Empresa;Não;18;16;320;0.8
2018;COMO MELHORAR O VISUAL DA SUA LOJA #EXPONEGOCIO;Sim;26;26;0;0.52
2018;COMO MELHORAR SUAS VENDAS - Exclusivo para empresários de microempresas;Não;15;9;1900;0.4
2018;COMO OBTER CRÉDITO PARA O SEU NEGÓCIO;Sim;9;9;0;0.166666667
2018;Como Obter Crédito para o seu Negócio;Sim;6;6;0;0.1
2018;Como Obter um Financiamento para o MEI #SEMANADOMEI;Sim;1;0;0;-
2018;COMO RECONHECER SEU TALENTO EMPREENDEDOR;Não;5;0;0;-
2018;COMO SE TORNAR UM MICROEMPREENDEDOR INDIVIDUAL;Sim;58;33;0;0.773333333
2018;COMO TRANSFORMAR O SEU SALÃO EM UMA MAQUINA DE VENDAS;Sim;93;93;0;0.186
2018;COMO VENCER O MEDO DE FALAR EM PÚBLICO #EXPONEGOCIO;Sim;36;35;0;1
2018;Como Vender Mais e Melhor;Não;9;9;765;0.3
2018;Como Vender Mais e Melhor;Sim;30;30;0;0.833333333
2018;Como Vender Mais Usando Facebook. Instagram e Whatsapp;Sim;10;10;0;0.05
2018;Comunicação como ferramenta de posicionamento de mercado;Não;13;13;520;0.866666667
2018;COMUNICAÇÃO E RELACIONAMENTO COM SEU CLIENTE;Sim;80;32;0;1
2018;CONCURSOS GASTRONÔMICOS: OS DESAFIOS E AS REALIZAÇÕES DE UMA COMPETIÇÃO;Sim;7;5;0;0.333333333
2018;Confeitaria Artística;Sim;12;11;0;0.733333333
2018;CONFORTO TÉRMICO EM INSTALAÇÕES DE FRANGO DE CORTE;Sim;28;28;0;0.56
2018;Congresso Paraibano de Geriatria e Gerontologia;Sim;12;0;0;-
2018;CONSERVAÇÃO E APLICAÇÃO DE HORMÔNIOS USADOS NA IATF EM BOVINOS;Sim;18;18;0;0.5
2018;Construindo um Plano de Ação para o Médio Piranhas;Sim;22;22;0;0.733333333
2018;CONTROLES FINANCEIROS;Não;48;46;3048;0.707692308
2018;Controles Financeiros/Fluxo de Caixa #SEMANADOMEI;Sim;7;7;0;0.35
2018;Cooperativa de Crédito 1;Sim;1;1;0;0.02
2018;COOPERATIVISMO DE CRÉDITO COMO AGENTE DE DESENVOLVIMENTO;Sim;9;9;0;0.9
2018;CORTES E VISAGISMO - CYSTEN HAIR;Sim;28;28;0;0.56
2018;Cortes Especiais a Base de Carne de Cordeiro e de Suíno;Sim;5;5;0;0.25
2018;CRÉDITO RURAL;Sim;6;6;0;0.4
2018;CRESCENDO E EMPREENDENDO;Não;11;11;299.97;0.733333333
2018;Crescimento Disruptivo;Não;340;340;27200;0.971428571
2018;Criação de Tilápia em tanque rede e tanque escavado;Sim;19;18;0;0.36
2018;Criação de uma rede e seus impactos;Sim;5;5;0;0.166666667
